year,series,issues
1933,1,2
1937,2,9
1938,1,37
1939,2,7
1940,4,7
1941,15,31
1942,15,55
1943,11,13
1944,29,61
1945,26,67
1946,33,922
1947,19,405
1948,23,2704
1949,30,878
1950,52,1396
1951,46,1429
1952,42,644
1953,58,1236
1954,43,1407
1955,85,1146
1956,62,939
1957,39,407
1958,29,888
1959,21,577
1960,16,363
1961,47,246
1962,7,75
1963,7,70
1964,8,147
1965,21,361
1966,11,80
1967,10,72
1968,4,5
1969,3,33
1970,16,122
1971,15,76
1972,14,201
1973,11,161
1974,14,180
1975,44,278
1976,45,247
1977,42,285
1978,50,474
1979,27,77
1980,46,117
1981,53,166
1982,109,134
1983,62,151
1984,70,253
1985,21,59
1986,4,9
1987,17,41
1988,9,22
1989,8,23
1990,5,16
1991,1,7
1992,4,8
1993,5,19
1994,6,48
1995,12,106
1996,5,17
1997,5,26
1998,5,166
1999,2,4
2000,3,35
2001,4,8
2002,6,16
2003,1,32
2004,6,6
2005,2,30
2006,3,6
2007,4,4
2008,4,5
2009,5,29
2010,7,35
2011,7,9
2012,5,14
2013,6,8
2014,8,40
2015,5,7
2016,8,32
2017,11,46
2018,6,13
2019,3,4
2020,2,3
2021,7,13
2022,5,6
2024,7,29
2025,1,5
2026,1,1
