code,country,genre,stories
au,Australia,adventure,1837
au,Australia,anthropomorphic-funny animals,2687
au,Australia,children,236
au,Australia,crime,644
au,Australia,detective-mystery,412
au,Australia,fantasy,735
au,Australia,horror-suspense,3119
au,Australia,humor,3422
au,Australia,non-fiction,851
au,Australia,other,2764
au,Australia,romance,3300
au,Australia,science fiction,1768
au,Australia,superhero,4828
au,Australia,teen,729
au,Australia,war,996
au,Australia,western-frontier,3984
be,Belgium,adventure,13886
be,Belgium,anthropomorphic-funny animals,5907
be,Belgium,children,2638
be,Belgium,crime,573
be,Belgium,detective-mystery,2391
be,Belgium,fantasy,3277
be,Belgium,horror-suspense,377
be,Belgium,humor,18786
be,Belgium,non-fiction,400
be,Belgium,other,11524
be,Belgium,romance,106
be,Belgium,science fiction,2433
be,Belgium,superhero,1209
be,Belgium,teen,190
be,Belgium,war,1755
be,Belgium,western-frontier,4007
br,Brazil,adventure,353
br,Brazil,anthropomorphic-funny animals,863
br,Brazil,children,204
br,Brazil,crime,585
br,Brazil,detective-mystery,103
br,Brazil,fantasy,633
br,Brazil,horror-suspense,377
br,Brazil,humor,662
br,Brazil,non-fiction,63
br,Brazil,other,1085
br,Brazil,romance,17
br,Brazil,science fiction,509
br,Brazil,superhero,9613
br,Brazil,teen,12
br,Brazil,war,99
br,Brazil,western-frontier,67
ca,Canada,adventure,2027
ca,Canada,anthropomorphic-funny animals,1384
ca,Canada,children,904
ca,Canada,crime,481
ca,Canada,detective-mystery,556
ca,Canada,fantasy,1676
ca,Canada,horror-suspense,1232
ca,Canada,humor,7770
ca,Canada,non-fiction,1123
ca,Canada,other,8192
ca,Canada,romance,1124
ca,Canada,science fiction,3051
ca,Canada,superhero,4450
ca,Canada,teen,1324
ca,Canada,war,1202
ca,Canada,western-frontier,1526
de,Germany,adventure,4605
de,Germany,anthropomorphic-funny animals,2100
de,Germany,children,322
de,Germany,crime,1236
de,Germany,detective-mystery,723
de,Germany,fantasy,3013
de,Germany,horror-suspense,4248
de,Germany,humor,8317
de,Germany,non-fiction,382
de,Germany,other,7368
de,Germany,romance,67
de,Germany,science fiction,5250
de,Germany,superhero,32077
de,Germany,teen,226
de,Germany,war,567
de,Germany,western-frontier,2568
dk,Denmark,adventure,1220
dk,Denmark,anthropomorphic-funny animals,3129
dk,Denmark,children,152
dk,Denmark,crime,92
dk,Denmark,detective-mystery,262
dk,Denmark,fantasy,686
dk,Denmark,horror-suspense,679
dk,Denmark,humor,1376
dk,Denmark,non-fiction,97
dk,Denmark,other,1282
dk,Denmark,romance,294
