code,country,year,series
au,Australia,1933,1
au,Australia,1937,2
au,Australia,1938,1
au,Australia,1939,2
au,Australia,1940,4
au,Australia,1941,15
au,Australia,1942,15
au,Australia,1943,11
au,Australia,1944,29
au,Australia,1945,26
au,Australia,1946,33
au,Australia,1947,19
au,Australia,1948,23
au,Australia,1949,30
au,Australia,1950,52
au,Australia,1951,46
au,Australia,1952,42
au,Australia,1953,58
au,Australia,1954,43
au,Australia,1955,85
au,Australia,1956,62
au,Australia,1957,39
au,Australia,1958,29
au,Australia,1959,21
au,Australia,1960,16
au,Australia,1961,47
au,Australia,1962,7
au,Australia,1963,7
au,Australia,1964,8
au,Australia,1965,21
au,Australia,1966,11
au,Australia,1967,10
au,Australia,1968,4
au,Australia,1969,3
au,Australia,1970,16
au,Australia,1971,15
au,Australia,1972,14
au,Australia,1973,11
au,Australia,1974,14
au,Australia,1975,44
au,Australia,1976,45
au,Australia,1977,42
au,Australia,1978,50
au,Australia,1979,27
au,Australia,1980,46
au,Australia,1981,53
au,Australia,1982,109
au,Australia,1983,62
au,Australia,1984,70
au,Australia,1985,21
au,Australia,1986,4
au,Australia,1987,17
au,Australia,1988,9
au,Australia,1989,8
au,Australia,1990,5
au,Australia,1991,1
au,Australia,1992,4
au,Australia,1993,5
au,Australia,1994,6
au,Australia,1995,12
au,Australia,1996,5
au,Australia,1997,5
au,Australia,1998,5
au,Australia,1999,2
au,Australia,2000,3
au,Australia,2001,4
au,Australia,2002,6
au,Australia,2003,1
au,Australia,2004,6
au,Australia,2005,2
au,Australia,2006,3
au,Australia,2007,4
au,Australia,2008,4
au,Australia,2009,5
au,Australia,2010,7
au,Australia,2011,7
au,Australia,2012,5
au,Australia,2013,6
au,Australia,2014,8
au,Australia,2015,5
au,Australia,2016,8
au,Australia,2017,11
au,Australia,2018,6
au,Australia,2019,3
au,Australia,2020,2
au,Australia,2021,7
au,Australia,2022,5
au,Australia,2024,7
au,Australia,2025,1
au,Australia,2026,1
be,Belgium,1930,2
be,Belgium,1934,1
be,Belgium,1935,1
be,Belgium,1936,3
be,Belgium,1937,2
be,Belgium,1938,3
be,Belgium,1940,1
be,Belgium,1941,2
be,Belgium,1942,2
be,Belgium,1943,5
be,Belgium,1944,5
be,Belgium,1945,9
be,Belgium,1946,18
be,Belgium,1947,3
be,Belgium,1948,17
be,Belgium,1949,7
be,Belgium,1950,10
be,Belgium,1951,5
be,Belgium,1952,6
be,Belgium,1953,3
be,Belgium,1954,10
be,Belgium,1955,11
be,Belgium,1956,13
be,Belgium,1957,5
be,Belgium,1958,4
be,Belgium,1959,10
be,Belgium,1960,16
be,Belgium,1961,16
be,Belgium,1962,10
be,Belgium,1963,9
be,Belgium,1964,6
be,Belgium,1965,15
be,Belgium,1966,11
be,Belgium,1967,12
be,Belgium,1968,9
be,Belgium,1969,14
be,Belgium,1970,8
be,Belgium,1971,8
be,Belgium,1972,16
be,Belgium,1973,32
be,Belgium,1974,28
be,Belgium,1975,20
be,Belgium,1976,18
be,Belgium,1977,36
be,Belgium,1978,61
be,Belgium,1979,53
be,Belgium,1980,63
be,Belgium,1981,100
be,Belgium,1982,77
be,Belgium,1983,68
be,Belgium,1984,86
be,Belgium,1985,96
be,Belgium,1986,119
be,Belgium,1987,106
be,Belgium,1988,88
be,Belgium,1989,92
be,Belgium,1990,121
be,Belgium,1991,121
be,Belgium,1992,86
be,Belgium,1993,88
be,Belgium,1994,90
be,Belgium,1995,97
be,Belgium,1996,117
be,Belgium,1997,110
be,Belgium,1998,87
be,Belgium,1999,112
be,Belgium,2000,122
be,Belgium,2001,129
be,Belgium,2002,118
be,Belgium,2003,140
be,Belgium,2004,178
be,Belgium,2005,204
be,Belgium,2006,206
be,Belgium,2007,267
be,Belgium,2008,263
be,Belgium,2009,259
be,Belgium,2010,277
be,Belgium,2011,303
be,Belgium,2012,300
be,Belgium,2013,336
be,Belgium,2014,276
be,Belgium,2015,244
be,Belgium,2016,254
be,Belgium,2017,266
be,Belgium,2018,310
be,Belgium,2019,249
be,Belgium,2020,245
be,Belgium,2021,311
be,Belgium,2022,231
be,Belgium,2023,252
be,Belgium,2024,194
be,Belgium,2025,207
be,Belgium,2026,138
br,Brazil,1934,2
br,Brazil,1935,1
br,Brazil,1937,2
br,Brazil,1938,1
br,Brazil,1939,2
br,Brazil,1940,4
br,Brazil,1941,2
br,Brazil,1942,3
br,Brazil,1946,2
br,Brazil,1947,3
br,Brazil,1948,6
br,Brazil,1949,9
br,Brazil,1950,9
br,Brazil,1951,6
br,Brazil,1952,6
br,Brazil,1953,16
br,Brazil,1954,16
br,Brazil,1955,17
br,Brazil,1956,16
br,Brazil,1957,9
br,Brazil,1958,10
br,Brazil,1959,11
br,Brazil,1960,14
br,Brazil,1961,12
br,Brazil,1962,3
br,Brazil,1963,3
br,Brazil,1964,4
br,Brazil,1965,10
br,Brazil,1966,16
br,Brazil,1967,34
br,Brazil,1968,30
br,Brazil,1969,29
br,Brazil,1970,16
br,Brazil,1971,9
br,Brazil,1972,21
br,Brazil,1973,42
br,Brazil,1974,19
br,Brazil,1975,41
br,Brazil,1976,44
br,Brazil,1977,34
br,Brazil,1978,25
br,Brazil,1979,42
br,Brazil,1980,28
br,Brazil,1981,30
br,Brazil,1982,39
br,Brazil,1983,18
br,Brazil,1984,21
br,Brazil,1985,21
br,Brazil,1986,33
br,Brazil,1987,69
br,Brazil,1988,60
br,Brazil,1989,68
br,Brazil,1990,62
br,Brazil,1991,78
br,Brazil,1992,55
br,Brazil,1993,45
br,Brazil,1994,50
br,Brazil,1995,38
br,Brazil,1996,58
br,Brazil,1997,69
br,Brazil,1998,93
br,Brazil,1999,65
br,Brazil,2000,43
br,Brazil,2001,66
br,Brazil,2002,113
br,Brazil,2003,126
br,Brazil,2004,101
br,Brazil,2005,110
br,Brazil,2006,140
br,Brazil,2007,225
br,Brazil,2008,130
br,Brazil,2009,123
br,Brazil,2010,137
br,Brazil,2011,145
br,Brazil,2012,167
br,Brazil,2013,177
br,Brazil,2014,196
br,Brazil,2015,270
br,Brazil,2016,307
br,Brazil,2017,310
br,Brazil,2018,289
br,Brazil,2019,327
br,Brazil,2020,282
br,Brazil,2021,317
br,Brazil,2022,331
br,Brazil,2023,243
br,Brazil,2024,24
br,Brazil,2025,14
br,Brazil,2026,6
ca,Canada,1933,1
ca,Canada,1934,1
ca,Canada,1939,1
ca,Canada,1941,21
ca,Canada,1942,12
ca,Canada,1943,7
ca,Canada,1944,8
ca,Canada,1945,25
ca,Canada,1946,33
ca,Canada,1947,11
ca,Canada,1948,126
ca,Canada,1949,155
ca,Canada,1950,202
ca,Canada,1951,75
ca,Canada,1952,30
ca,Canada,1953,16
ca,Canada,1954,2
ca,Canada,1955,1
ca,Canada,1959,1
ca,Canada,1960,1
ca,Canada,1961,1
ca,Canada,1962,2
