code,country,total_issues,foreign_reprints,domestic_reprints,original,pct_foreign,pct_domestic
no,Norway,59587,24488,9695,25404,41.1,16.27
ca,Canada,19748,5417,433,13898,27.43,2.19
au,Australia,34625,6068,245,28312,17.52,0.71
nl,Netherlands,64129,10852,4357,48920,16.92,6.79
de,Germany,165322,24247,5896,135179,14.67,3.57
pl,Poland,6805,988,225,5592,14.52,3.31
se,Sweden,64520,8866,1630,54024,13.74,2.53
gr,Greece,11223,1217,1,10005,10.84,0.01
dk,Denmark,34847,3732,264,30851,10.71,0.76
hr,Croatia (Hrvatska),7184,631,23,6530,8.78,0.32
fi,Finland,28464,2040,112,26312,7.17,0.39
fr,France,218100,15526,4769,197805,7.12,2.19
ch,Switzerland,11844,778,118,10948,6.57,1.0
it,Italy,121821,7954,5773,108094,6.53,4.74
br,Brazil,75227,4473,71,70683,5.95,0.09
mx,Mexico,155250,9059,101,146090,5.84,0.07
gb,United Kingdom,215890,11884,6600,197406,5.5,3.06
be,Belgium,63306,3479,4159,55668,5.5,6.57
es,Spain,124024,6536,408,117080,5.27,0.33
pt,Portugal,24317,1194,64,23059,4.91,0.26
hu,Hungary,6479,263,3,6213,4.06,0.05
yu,Yugoslavia (1918-1991),22228,641,9,21578,2.88,0.04
at,Austria,5683,158,15,5510,2.78,0.26
cl,Chile,13500,162,0,13338,1.2,0.0
co,Colombia,16540,173,20,16347,1.05,0.12
us,United States,607252,5892,66817,534543,0.97,11.0
in,India,17466,161,374,16931,0.92,2.14
ar,Argentina,32118,262,16,31840,0.82,0.05
ph,Philippines,21636,93,0,21543,0.43,0.0
eg,Egypt,10638,20,0,10618,0.19,0.0
jp,Japan,138194,96,1613,136485,0.07,1.17
