state,creators
New York,1770
California,872
Illinois,472
Pennsylvania,441
Ohio,399
New Jersey,361
Massachusetts,302
Michigan,246
Texas,244
Missouri,161
Indiana,145
Minnesota,138
Connecticut,135
Wisconsin,124
Florida,115
Washington,108
Maryland,98
Oregon,92
Iowa,84
Virginia,81
North Carolina,80
Georgia,76
Kentucky,74
Kansas,74
Tennessee,73
Nebraska,57
Oklahoma,56
Colorado,55
Louisiana,54
Rhode Island,45
District of Columbia,44
Arizona,43
Alabama,43
Utah,38
Mississippi,33
South Carolina,32
Maine,32
Arkansas,29
Hawaii,26
West Virginia,25
Montana,24
Vermont,23
New Hampshire,21
Alaska,17
New Mexico,15
North Dakota,13
Idaho,13
Nevada,12
South Dakota,11
Delaware,11
MI,8
Massachusets,6
New York City,4
NY,4
Wyoming,3
Pennyslvania,3
Indian Territory,3
Puerto Rico,2
Milwaukee,2
Massachussetts,2
Massachussets,2
England,2
DC,2
D.C.,2
Connecticutt,2
Cincinnati,2
Chicago,2
new Jersey,1
llinois,1
https://www.askart.com/artist/D_Earle_Nelson/10039,1
Wisconsins,1
"Westchester County, New York",1
"Washington, DC",1
Virgínia,1
Veracruz,1
"Tolland County, Connecticut",1
Tilden,1
Tampa,1
"Surry County, North Carolina",1
"Southern California, California",1
Scotland,1
"San Mateo County, California",1
"San Gabriel Valley, California",1
Richmond,1
Philadelphia,1
Pennsylvania.,1
Pennsylania,1
Pawhuska,1
Panama Canal Zone,1
"Orange County, California",1
"Onondaga County, New York",1
Oklahoma City,1
North Carolilna,1
New York Sate,1
New Mexico Territory,1
New England,1
New  York,1
"Missouri, Andrew County",1
Michigain,1
"Mercer County, New Jersey",1
Manteca,1
MIssouri,1
Louisville,1
Los Angeles,1
"London, England",1
KY,1
Indianapolis,1
Illinois.,1
Custer City,1
Cleveland,1
"Chicot County, Arkansas",1
Cherokee Nation [Oklahoma],1
Cambridge,1
Califormia,1
CA,1
Arizona Territory,1
AZ,1
